video_id,title,channel_title,category_id,tags,views,likes,dislikes,comment_total,thumbnail_link,date
XpVt6Z1Gjjo,1 YEAR OF VLOGGING -- HOW LOGAN PAUL CHANGED YOUTUBE FOREVER!,Logan Paul Vlogs,24,logan paul vlog|logan paul|logan|paul|olympics|logan paul youtube|vlog|daily|comedy|hollywood|parrot|maverick|bird|maverick clothes|diamond play button|logan paul diamond play button|10M subscribers|logan paul 1 year vlogging|1 year vlog|dwarf mamba play button|logan paul history|youtube history|10M|10M plaque|youtube button|diamond button|logang|logang 4 life,4394029,320053,5931,46245,https://i.ytimg.com/vi/XpVt6Z1Gjjo/default.jpg,13.09
K4wEI5zhHB0,iPhone X — Introducing iPhone X — Apple,Apple,28,Apple|iPhone 10|iPhone Ten|iPhone|Portrait Lighting|A11 Bionic|augmented reality|emoji|animoji|Face ID|Apple Pay|camera|smartphone,7860119,185853,26679,0,https://i.ytimg.com/vi/K4wEI5zhHB0/default.jpg,13.09
cLdxuaxaQwc,My Response,PewDiePie,22,[none],5845909,576597,39774,170708,https://i.ytimg.com/vi/cLdxuaxaQwc/default.jpg,13.09
WYYvHb03Eog,Apple iPhone X first look,The Verge,28,apple iphone x hands on|Apple iPhone X|iPhone X|apple iphone x first look|iPhone X first look|apple iphone x event 2017|apple iphone x event|iPhone X price|iPhone X specs|iPhone X design|iPhone X camera|iPhone X home button|iPhone X wireless charging|iPhone X waterproof|iPhone X release date|iphone 2017|apple|iphone|ios 11|the verge|verge,2642103,24975,4542,12829,https://i.ytimg.com/vi/WYYvHb03Eog/default.jpg,13.09
sjlHnJvXdQs,iPhone X (parody),jacksfilms,23,jacksfilms|parody|parodies|iphone|iphone x|iphone 8|apple|emoji,1168130,96666,568,6666,https://i.ytimg.com/vi/sjlHnJvXdQs/default.jpg,13.09
cMKX2tE5Luk,The Disaster Artist | Official Trailer HD | A24,A24,1,a24|a24 films|a24 trailers|independent films|trailer|HD|official|movie|film|a24 movies|oscar winner|academy award winner|The Disaster Artist|room|james franco|greg sestero|tom bissell|dave franco|seth rogen|seth rogan|room trailer|The Disaster Artist trailer|The Disaster Artist film|disaster|artist|the room|the room movie|Tommy Wiseau|cult classic|the room behind the scenes|Juliette Danielle|oh hi mark|the worst film ever made|comedy|biographical,1311445,34507,544,3040,https://i.ytimg.com/vi/cMKX2tE5Luk/default.jpg,13.09
8wNr-NQImFg,"The Check In: HUD, Ben Carson and Hurricanes",Late Night with Seth Meyers,23,Late night|Seth Meyers|check in|hud|Ben Carson|NBC|NBC TV|television|funny|talk show|comedy|humor|stand-up|parody|snl seth meyers|host|promo|seth|meyers|weekend update|news satire|satire|surgeon|neurosurgeon|Housing Secretary|Elizabeth Warren|Gifted Hands|Housing & Urban Development|ProPublica|HLN|Hurricane Harvey|Texas|EPA,666169,9985,297,1071,https://i.ytimg.com/vi/8wNr-NQImFg/default.jpg,13.09
_HTXMhKWqnA,iPhone X Impressions & Hands On!,Marques Brownlee,28,iPhone X|iphone x|iphone 10|iPhone X impressions|hands on|iphone 8|iphone 8 plus|iphone 8 impressions|iPhone X hands on|new iphone|iphone unboxing|iphone x unboxing|iphone x announcement|the iphone x|iphone x vs|iPhone X vs iPhone 8|iPhone 8 vs|MKBHD|iphone x features|iphone x keynote|face id|face unlock|super retina display,1728614,74062,2180,15297,https://i.ytimg.com/vi/_HTXMhKWqnA/default.jpg,13.09
_ANP3HR1jsM,ATTACKED BY A POLICE DOG!!,RomanAtwoodVlogs,22,Roman Atwood|Roman|Atwood|roman atwood vlogs|family vlogs|roman vlogs|youtube pranks|atwood vlogs|noah atwood|kane atwood|brittney|roman soldiers|kid-friendly|kid friendly|family-friendly|family friendly|family fun|Vlogs2017|vlog|vlogs|vlogger|vlogging|day|daily|Everyday|Smile more|Roman atwoods|House|Home|Kids|Noah|Kane|donkey|Empire|flash|Husky|Dog|Girlfriend|Britt|police|dog|K9|cops|fireman|fire truck,1338533,69687,678,5643,https://i.ytimg.com/vi/_ANP3HR1jsM/default.jpg,13.09
zgLtEob6X-Q,Honest Trailers - The Mummy (2017),Screen Junkies,1,screenjunkies|screen junkies|screenjunkies news|screen junkies news|sj news|honest trailer|honest trailers|the mummy|the dark universe|universal|tom cruise,1056891,29943,878,4046,https://i.ytimg.com/vi/zgLtEob6X-Q/default.jpg,13.09
Ayb_2qbZHm4,Honest College Tour,CollegeHumor,23,Collegehumor|CH originals|comedy|sketch comedy|internet|humor|funny|sketch|amazon|amazon prime|college|college tour|university,859289,34485,726,1914,https://i.ytimg.com/vi/Ayb_2qbZHm4/default.jpg,13.09
CsdzflTXBVQ,Best Floyd Mayweather Interview | Awkward Puppets,Awkward Puppets,23,best floyd mayweather interview|awkward|puppets|best|floyd|mayweather|interview|how to be honest|the keys of christmas|i am diego new album coming soon official trailer|Best Floyd Mayweather Interview | Awkward Puppets|lelepons|hannahstocking|rudymancuso|inanna|anwar|inannasarkis|shots|shotsstudios|marshmello|marshemllo|alesso|| Awkward Puppets,452477,28050,405,2745,https://i.ytimg.com/vi/CsdzflTXBVQ/default.jpg,13.09
l864IBj7cgw,Jennifer Lawrence Challenges Jimmy to an Axe Throwing Contest,The Tonight Show Starring Jimmy Fallon,23,The Tonight Show|Jimmy Fallon|Jennifer Lawrence|Challenges|Jimmy|Axe Throwing|Contest|NBC|NBC TV|Television|Funny|Talk Show|comedic|humor|snl|Fallon Stand-up|Fallon monologue|tonight|show|jokes|funny video|interview|variety|comedy sketches|talent|celebrities|video|clip|highlight|Hunger Games|Mother!|Mother|Passengers|Mystique|Katniss|x-men|x men,258781,8085,303,726,https://i.ytimg.com/vi/l864IBj7cgw/default.jpg,13.09
4MkC65emkG4,Hand In Hand A Benefit For Hurricane Relief | MTV,MTV,24,mtv|video|online|official|tv|television|watch|Hand in Hand|benefit|hurricane relief|money|hurricane harvey|hurricane irma|beyonce|george clooney|julia roberts|barbra stresiand|reese witherspoon|oprah winfrey|stars|celebrity|celebrities|charity|charities|aid|recovery|Houston|Florida|Miami|habitat for humanity|save the children|feeding texas|mayor's fund for hurricane harvey relief|destruction|evacuation|evacuate|warning|storm|death|live updates|live stream,274358,9215,477,838,https://i.ytimg.com/vi/4MkC65emkG4/default.jpg,13.09
vu_9muoxT50,Colin Cloud: Mind Reader Predicts Your Tweets - America's Got Talent 2017,America's Got Talent,24,America's Got Talent 2017|america's got talent|america's got talent fails|america's got talent best|america's got talent auditions|AGT|AGT 2017 auditions|AGT best auditions|NBC|TV|TV Shows|Highlights|Previews|Simon Cowell|Howie Mandel|Tyra Banks|Heidi Klum|Mel B|season 12|America's|Got|Talent|funny|judge|vote|clips|talent|entertainment|competition|biggest talent show|talent show,473691,14740,415,1696,https://i.ytimg.com/vi/vu_9muoxT50/default.jpg,13.09
1L7JFN7tQLs,iPhone X Hands on - Everything you need to know,Jonathan Morrison,28,Apple|iPhone X|iPhone 8|iPhone X unboxing|Apple iPhone X|iPhone X hands on|iPhone X review|review|unboxing|iphone 8 plus|iphone 8 unboxing|iphone 8 review|iphone 8 rumors|iphone edition|iphone 8 leaked|iphone|2017|ios 11|iphone 8 features|apple iphone 8|iphone 2017|apple iphone edition|iphone 8|iphone 8 specs|iPhone X official|tld|jonathan morrison,514972,18936,641,3817,https://i.ytimg.com/vi/1L7JFN7tQLs/default.jpg,13.09
ZQK1F0wz6z4,What Do You Want to Eat?!,Wong Fu Productions,24,panda|what should we eat|buzzfeed|comedy|boyfriend|girlfriend|relationship problems|fight|argue|panda express|food|foodie|sherlock holmes|wasabi|sushi|salmon|avocado|romantic comedy|joanna sotomura,282858,14870,300,1398,https://i.ytimg.com/vi/ZQK1F0wz6z4/default.jpg,13.09
T_PuZBdT2iM,getting into a conversation in a language you don't actually speak that well,ProZD,1,skit|korean|language|conversation|esl|japanese|foreign|communication|don't speak|struggle|foreigner|lotte mart|korea|south|weather|good|tutorial,1582683,65749,1531,3598,https://i.ytimg.com/vi/T_PuZBdT2iM/default.jpg,13.09
w8fAellnPns,Juicy Chicken Breast - You Suck at Cooking (episode 65),You Suck At Cooking,26,how to|cooking|recipe|kitchen|chicken|chicken breast|juicy chicken breast|baked chicken breast|hummus|cumin|comedy|funny|juicy,479951,23945,640,1941,https://i.ytimg.com/vi/w8fAellnPns/default.jpg,13.09
UCrBICYM0yM,Downsizing (2017) - Official Trailer - Paramount Pictures,Paramount Pictures,1,downsizing|preview|release date|official|drama|Paramount Pictures (Production Company)|new movies|academy awards|oscars|matt Damon|hong chau|jason sudeikis|christoph waltz|comedy|dark comedy|trailer|funny|film festival|film|toronto international film festival|TIFF|venice film festival|film festivals|independent film|OFFICIAL TRAILER|trailer 1|kristen wiig|alexander payne,2693468,7941,302,1432,https://i.ytimg.com/vi/UCrBICYM0yM/default.jpg,13.09
#NAME?,Fergie - You Already Know ft. Nicki Minaj,FergieVEVO,10,Fergie|You|Already|Know|BMG|Rights|Management|(US)|LLC|Pop,815608,66420,3578,5550,https://i.ytimg.com/vi/-Ifnaxi2LQg/default.jpg,13.09
B7YaMkCl3XA,Hurricane Irma death toll rises to 10 in Cuba,Al Jazeera English,25,5573051142001|americasnews|Cuba|natural disasters|Irma tropical storm|latin america|package|Julia Galiano|News|caribbean|English|Havana|al Jazeera|environment|hurricane irma|youtube|weather|AJE|aljazeera,382525,1521,270,1168,https://i.ytimg.com/vi/B7YaMkCl3XA/default.jpg,13.09
5ywKal6-anc,"Gigi Hadid Loses High Heel During Fashion Week, Walks It Off Like a Pro | TMZ",TMZ,24,TMZ2016FS11221|TMZ|Hollywood|Celebrity|Entertainment|Famous|Hollywood News|Fame|Entertainment News,703750,2921,2196,1042,https://i.ytimg.com/vi/5ywKal6-anc/default.jpg,13.09
4Yue-q9Jdbk,SUPERFRUIT REACTS TO TEENS REACT TO SUPERFRUIT,SUPERFRUIT,24,superfruit|super|fruit|scott|hoying|mitch|grassi|fcute|weekly|obsessions|everyone|heres|good|song|dont|listen|to|anything|else|today|wyatt|blue|REACTS|FINE BROS|REACTING,255967,21817,293,2017,https://i.ytimg.com/vi/4Yue-q9Jdbk/default.jpg,13.09
JhA1Wi9mrns,Kid Rock - Tennessee Mountain Top [Lyrics],Kid Rock,10,kid rock|greatests show on earth|po dunk|tennessee mountain top|rock music|country music|official music video|music video|new music|2017|all summer long,96872,3498,482,439,https://i.ytimg.com/vi/JhA1Wi9mrns/default.jpg,13.09
EVp4-qjWVJE,Chargers vs. Broncos | NFL Week 1 Game Highlights,NFL,17,NFL|Football|offense|defense|afc|nfc|American Football|highlight|highlights|game|games|sport|sports|action|play|plays|season|2017|scrimmage|rookie|rookies|recap|run|sprint|catch|huge|amazing|win|lose|touchdown|td|week 1|wk 1|los angeles|LA|chargers|denver|broncos|rivers|anderson|thomas|mnf|monday night football|sp:dt=2017-09-11T22:20:00-04:00|sp:vl=en-US|sp:st=football|sp:li=nfl|sp:ti:home=Den|sp:ti:away=SD|sp:ty=high|kick|block|kicker|blocked kick|field goal block,743947,6126,352,2438,https://i.ytimg.com/vi/EVp4-qjWVJE/default.jpg,13.09
LcZ2AuvxXNA,Nerf Bow Trick Shots | Dude Perfect,Dude Perfect,17,dude perfect|dude perfect stereotypes|dude perfect water bottle flip|bottle flip|water bottle flip|dude perfect bottle flip|dude perfect basketball|dp|dude perfect world record|edition|nerf|trick shots|trick shot|family|ping pong|bowling|clean|family friendly|bubble wrap|soccer|football|spinner|spinners|fidget spinners|dude|bow|arrow|archery|toy|target|moving|bottle|bust|crossbow|bow and arrow|kids|archery trick shots,10535242,384920,7550,23855,https://i.ytimg.com/vi/LcZ2AuvxXNA/default.jpg,13.09
MdzGZv3zQ-U,"Action Bronson and Sean Evans Have a Sandwich Showdown, Judged by Mario Batali | Sean in the Wild",First We Feast,26,First we feast|fwf|firstwefeast|food|food porn|cook|cooking|chef|kitchen|recipe|cocktail|bartender|craft beer|complex|complex media|Cook (Profession)|action bronson|sean evans|mario batali|sandwich|sandwich showdown|sandwich competition,483360,16258,245,1588,https://i.ytimg.com/vi/MdzGZv3zQ-U/default.jpg,13.09
1ZNZY-gd3K0,Joe Arpaio: Last Week Tonight with John Oliver (HBO),LastWeekTonight,24,last week tonight joe arpaio|joe arpaio|john oliver joe arpaio,3298456,65730,4360,9504,https://i.ytimg.com/vi/1ZNZY-gd3K0/default.jpg,13.09
2wxyDrfwlXQ,What's In This 90s Mystery Caboodle?,grav3yardgirl,26,beauty|how to|makeup|howto|style|fashion|summer|spring|new|clothes|clothing|bunny|2017|caboodles|90s makeup|90s trends|90s fashion|1997|1998|90s hair,321297,15424,280,3317,https://i.ytimg.com/vi/2wxyDrfwlXQ/default.jpg,13.09
QBGaO89cBMI,Radiohead - Lift,Radiohead,10,radiohead|lift|ok computer|oknotok,752844,42290,359,3250,https://i.ytimg.com/vi/QBGaO89cBMI/default.jpg,13.09
ql0Op1VcELw,What's Actually the Plane of the Future,Wendover Productions,27,plane|of|the|future|aviation|airplane|aircraft|electric|electric aircraft|electric plane|pilotless plane|airports|airport|wendover|productions|wendover productions|half as interesting|interesting|education|educational|animated|video|boeing|airbus|boeing 797|797|middle market|mom|middle of the market plane|what's actually the plane of the future|edu|797 dreamliner|737 max|airbus a321 neo lr|airbus a321,602127,19575,658,2510,https://i.ytimg.com/vi/ql0Op1VcELw/default.jpg,13.09
JO7X9ZPoAp8,Blind People Describe Beauty,WatchCut Video,24,blind people|buzzfeed|beauty|beautiful|blind people describe|partnership|blind,136643,6218,127,524,https://i.ytimg.com/vi/JO7X9ZPoAp8/default.jpg,13.09
GGm0FQ6i74U,What Hillary Clinton really thinks,Vox,25,vox.com|vox|explain|ezra klein|hillary clinton|what happened|donald trump|election 2016|election 2018|bernie sanders|vox conversations|hillary clinton book|hillary clinton interview|hillary clinton book interview|what happened book|clinton|hillary|maga|make america great again|universal basic income|universal health care|single-payer|health care|hillary rodham|hillary vox interview,244433,9143,6826,4838,https://i.ytimg.com/vi/GGm0FQ6i74U/default.jpg,13.09
a7Sf_H2cFdM,Drowning for Power - Rooster Teeth Animated Adventures,Rooster Teeth,1,Rooster Teeth|RT|animation|television|filmmaking|games|video games|comics|austin|texas|production|movies|web series|RTAA|Animated Adventures|animated|stick figures|short|sketch|skit|comedy|humor|real life animated|jordan cwierz|storytelling|personal|embarrassing|history|Brandon Farmahini|Burnie Burns|Gray Haddock|Max Kruemcke|Beach|Most Interesting Man|Father-in-Law|Alligator|Floaty|Power|Alpha|In-Laws|swimming|ocean|kayak|paddle|murder|Father|wrestle|drowning,917643,25456,731,1073,https://i.ytimg.com/vi/a7Sf_H2cFdM/default.jpg,13.09
oDIDZ9EmQfA,Jumping Through Impossible Shapes!,Rclbeauty101,24,Jumping Through impossible shapes|rclbeauty101|theundervlogs|jumping|impossible|shapes|funny|comedy|vlogs,796896,39791,1252,3868,https://i.ytimg.com/vi/oDIDZ9EmQfA/default.jpg,13.09
zAtHxJvSczA,Does Maggie Gyllenhaal Have Taylor Swift’s Scarf? | WWHL,Watch What Happens Live with Andy Cohen,24,What What Happens live|reality|interview|fun|Andy Cohen|talk|show|program|Bravo|Watch What Happens Live|WWHL|bravo andy|Watch|What|Happens|Show|Interview|taylor|celebrity|hollywood|actress|Maggie Gyllenhaal|Taylor Swift|scarf|Taylor|Maggie|brother|Jake Gyllenhaal|Gyllenhaal|song|Maggie’s brother|Maggie’s brother Jake Gyllenhaal|Taylor Swift’s scarf|Taylor Swift and Jack Gyllenhaal|Maggie Gyllenhaal wwhl|bravo late night|wwhl after show|andy cohen after show,2932,71,3,15,https://i.ytimg.com/vi/zAtHxJvSczA/default.jpg,13.09
l_uNfGY3v8E,"From the air, Irma's catastrophic wrath is undeniable",USA TODAY,25,5572962749001|Everglades City Florida|storm damage|Marco Island Florida|hurricane irma|usatsyn|naples florida|usatyoutube|vpc|severe weather,224532,490,772,597,https://i.ytimg.com/vi/l_uNfGY3v8E/default.jpg,13.09
Rew50oYjRqA,FALL MAKEUP TUTORIAL | Talk  Through Tutorial | Casey Holmes,Casey Holmes,26,casey holmes|itsbl0ndie|fall makeup tutorial|dramatic fall makeup|deep lips|makeup tutorial|highend cosmetics|highend makeup|makeup|cosmetics|tutorial|talk through,246389,15314,247,1842,https://i.ytimg.com/vi/Rew50oYjRqA/default.jpg,13.09
WWexI9YiLSc,The Commuter Teaser Trailer #1 (2018) | Movieclips Trailers,Movieclips Trailers,1,The commuter|the commuter trailer|2018|the commuter movie|liam neeson|vera farmiga|dean-charles chapman|jaume collet-serra|patrick wilson|killian scott|businessman|crime|criminal|conspiracy|commute|commuter|mystery|thriller|lionsgate,165647,3712,142,524,https://i.ytimg.com/vi/WWexI9YiLSc/default.jpg,13.09
LDcm6twPEJA,The Problem With Our Phones,The School of Life,27,the school of life|school|life|education|relationships|mood|alain de botton|sermon|philosophy|lecture|wisdom|London|talk|secular|self|improvement|curriculum|big questions|love|wellness|mindfullness|psychology|Alain|de|botton|of|how|to|hack|phones|mobile|cell|technology|addiction|modern|depression|problem|issue|PL-SELF|phone|science|iphone|media|cell phone|school of life|apple presentation|iphone problem|problem with iphone|téléphone|teléfono|Telefon|电话|電話|फ़ोन|Телефон,162818,9531,416,1079,https://i.ytimg.com/vi/LDcm6twPEJA/default.jpg,13.09
O78Lpo4ctSE,LANY - Super Far (Official Video),LANYVEVO,10,LANY|Super|Far|Polydor|Alternative,163656,19183,137,2154,https://i.ytimg.com/vi/O78Lpo4ctSE/default.jpg,13.09
qJJHhVf3_ZM,Gwyneth Paltrow Crashes James' Goop Magazine Rant,The Late Late Show with James Corden,24,James Corden|The Late Late Show|Colbert|late night|late night show|Stephen Colbert|Comedy|monologue|comedian|impressions|celebrities|carpool|karaoke|CBS|Late Late Show|Corden|joke|jokes|funny|funny video|funny videos|humor|celebrity|celeb|hollywood|famous,220661,2070,449,352,https://i.ytimg.com/vi/qJJHhVf3_ZM/default.jpg,13.09
3yoGE3v4A8w,FAIL.. + *New* ESTEE LAUDER DOUBLE WEAR NUDE {First Impression Review & Demo!} 15 DAYS OF FOUNDATION,thataylaa,26,fail|foundation fail|lottie london|lottie london stick foundation|all about that base foundation|estee lauder double wear|estee lauder double wear nude|1c1 cool bone|1c0|acne|pale|fair|pale skin|fair skin|first impression|foundation review demo|seattle|beauty guru|tayla|thataylaa double wear,142039,9889,130,1224,https://i.ytimg.com/vi/3yoGE3v4A8w/default.jpg,13.09
zTjcPeb2Gwg,IM GONNA BE A FATHER (Things Got Awkward),Wil Dasovich,22,father|dad|children|kids|vlog|vlogger|travel|traveler|vlogging|traveling|alodia|gosiengfiao|cosplay|kilig|love|babies|pinay|filipina|filipino|beautiful|san francisco|california,807779,26521,522,5996,https://i.ytimg.com/vi/zTjcPeb2Gwg/default.jpg,13.09
hQbeB0YXLhs,Fenty Beauty Pro Filt'r Foundation Review|| Nyma Tang #thedarkestshade,Nyma Tang,26,Nyma Tang|the darkest shade|contour for dark skin|dark skin|darkest foundation|highlighting and contour for dark skin|nyma|Fenty Beauty|Fenty Beauty the darkest shade|Fenty Beauty 490|490|Fenty Beauty Pro Filter Foundation Review|| Nyma Tang #thedarkestshade|Rihanna|Rihanna Fenty Beauty|Rihanna Makeup|Rihanna Makeup line|Fenty Beauty Launch|Trophy Wife,1936893,74587,1060,6558,https://i.ytimg.com/vi/hQbeB0YXLhs/default.jpg,13.09
L3f7_y9UPh4,Jimmy Kimmel Talks to Kristen Bell in Orlando After Hurricane Irma,Jimmy Kimmel Live,23,jimmy|jimmy kimmel|jimmy kimmel live|late night|talk show|funny|comedic|comedy|clip|comedian|mean tweets|Kristen Bell|Hurricane Irma|florida|orlando|frozen|princess anna|irma|disney|disney world|retirement,279903,4389,138,338,https://i.ytimg.com/vi/L3f7_y9UPh4/default.jpg,13.09
HwYK5Ay1YNQ,Hurricane Jose 5 a.m. advisory,WPTV News | West Palm Beach Florida,25,hurricane|irma|hurricane irma|florida|hurricane track|wptv|south florida|shelters|hurricane map|hurricane path|hurricane live video|irma path|irma video|irma photos,262875,1069,183,0,https://i.ytimg.com/vi/HwYK5Ay1YNQ/default.jpg,13.09
6vGg-jJl30A,THIS MADE MY DAD CRY! | Story of my Comeback Competition,Nile Wilson,17,nile wilson|nile wilson gymnastics|nile wilson olympics|olympic gymnast|amazing gymnastics|gymnastics|strength training|strength|hard work|vlogging|vlog|success|fitness|ultimate gymnastics challenge|comeback competition|worlds gymnastics championships|worlds trial|london open|london gymnastics|made my dad cry|my dad started crying|youtube sensation|nile wilson worlds championships|train smart keep it real,185541,12179,115,827,https://i.ytimg.com/vi/6vGg-jJl30A/default.jpg,13.09
9CILSvf1snQ,GOLD DIVA MACARONS- The Scran Line,The Scran Line,26,cupcakes|how to make vanilla cupcakes|over the top recipes|easy cupcake recipes|vanilla cupcakes|chocolate cupcakes|french macarons|how to make macarons|the scran line|the scranline|nick makrides|pastry design|how to pipe cupcakes,27794,1692,34,174,https://i.ytimg.com/vi/9CILSvf1snQ/default.jpg,13.09
WoPtuVbaSKQ,CHOCOLATE CHIP COOKIE CUPCAKES - NERDY NUMMIES,Rosanna Pansino,26,cookies|chocolate chip|perfect|recipe|tasty|delicious|from scratch|diy|do it yourself|how to|basic|simple|easy|step by step|guide|tutorial|food|kitchen|stamp|cutter|ro|baking line|wilton|rosanna pansino|fresh|vegetarian|decorating|icing|frosting|how to decorate|how to bake|how to cook|how to make|logo|have to try|tips|tricks|hacks|family friendly|kid friendly|party|themed|pinterest|outfit|makeup|hair|lifestyle|glasses|nerdy|girl|chef|baker|pastry,315347,19538,204,3172,https://i.ytimg.com/vi/WoPtuVbaSKQ/default.jpg,13.09
62cWuFjzOgs,Apple Watch Series 3 hands-on live from Apple Event 2017,Engadget,28,engadget|technology|consumer tech|aol|gadgets|science|gear|tech|Apple Watch Series 3|hands-on|Apple Watch Series 3 hands-on|Apple Watch hands-on|LTE|Apple Watch LTE|Series 3|Apple Watch 3 cellular|cellular|Apple Watch 3|Apple Watch 3 hands-on,46622,345,47,149,https://i.ytimg.com/vi/62cWuFjzOgs/default.jpg,13.09
NzRuDD0iYC0,"Last Week Tonight with John Oliver S04E23 - Sep 10, 2017",DeathByPixel,2,Last Week Tonight|John Oliver|President Trump|Ivanka Trump|Joe Arpaio|scranton train|president pardon|HBO|Chuck Todd|Chuck Schummer,668027,3553,1629,889,https://i.ytimg.com/vi/NzRuDD0iYC0/default.jpg,13.09
eM_FR7I2Ttw,Harry Styles - The Chain (Fleetwood Mac cover) in the Live Lounge,BBCRadio1VEVO,10,Harry Styles|Fleetwood Mac|The Chain|BBC|Radio 1|Live Lounge,1026622,61409,967,4097,https://i.ytimg.com/vi/eM_FR7I2Ttw/default.jpg,13.09
eoArC99zm1M,Real Clowns Creepier than Pennywise from IT,Good Mythical Morning,23,gmm|good mythical morning|gmm will it|good mythical morning will it|Rhett|link|rhett and link|Rhett link|gmm taste test|mythical morning|season 12|real clowns creepier than pennywise|real creepy clowns|real clowns|creepy clowns|rhett link creepy clowns|rhett link clowns|gmm creepy clowns|gmm real creepy clowns|gmm clowns|clowns|scary clowns|pennywise|it|it movie|scary clown|it clown|pennywise the clown|pennywise it|it pennywise|pennywise clown,1862110,38823,1999,6229,https://i.ytimg.com/vi/eoArC99zm1M/default.jpg,13.09
IMG0u0_cKNc,Here's what happens when two hurricanes collide,Tech Insider,28,Tech Insider|TI|Tech|Science|Innovation|Digital culture|Design|Technology|Hurricane|Hurricane Irma|Hurricane Jose|Hurricane Irwin|Florida|Weather|Global Warming|Climate Change,148998,2123,101,435,https://i.ytimg.com/vi/IMG0u0_cKNc/default.jpg,13.09
bAon04ZJhHE,Season 21 Preview: White People Renovating Houses,South Park Studios,20,[none],182676,3752,165,1163,https://i.ytimg.com/vi/bAon04ZJhHE/default.jpg,13.09
LTnl36-0-zU,After Hours: 6 Movies Whose Timelines Don't Add Up,Cracked,23,Swaim|Michael Swaim|Mike Swaim|Dan|Dan O’brien|Dan Obrien|Katy Willert|Katie Willert|Willert|Caty Willert|Soren|Soren Bowie|Bowie|Fan Theory|After Hours Original Cast|After Hours Original crew|Hot Takes|After Hours|DOB|Alien|aliens ripley|back to the future|BTTF|Evil Dead|Friday the 13th|Jason|Se7en|Kevin Spacey|What’s in the box|bruce campbell|Doc Brown|Thor|Incredible hulk|Iron Man|Nick Fury|MCU|Marvel Timeline|Movie timelines|movie trivia,379817,14096,323,1338,https://i.ytimg.com/vi/LTnl36-0-zU/default.jpg,13.09
EmjMWi0MBXQ,Don Lemon Praises ‘Chunky’ CNN Reporter Facing Irma Wrath: ‘Nothing Wrong With a Little Curve’,NN,22,CNN|Don Lemon|Hurricane Irme|sarah sidner|chris cuomo|hurricane irma: live updates - hurricane irma live|storm|cnn live|live update on hurricane irma|hurricane irma to day|update huricane irma|hurricane irma tracking,103807,119,23,67,https://i.ytimg.com/vi/EmjMWi0MBXQ/default.jpg,13.09
